Date,Open,High,Low,Close,Volume,Return_1d,Return_3d,Return_5d,Return_10d,Return_3d_Future,Return_5d_Future,Target_Direction,Target_Strong,Target_Magnitude,Close_2_ratio,Trend_2,Close_5_ratio,Trend_5,Close_60_ratio,Trend_60,Close_250_ratio,Trend_250,Close_1000_ratio,Trend_1000,MA_5,MA_20,MA_50,MA_200,Trend_5_20,Trend_20_50,Trend_50_200,Price_vs_MA20,Price_vs_MA50,Volatility_10,Volatility_30,Volatility_Ratio,High_Vol_Regime,Volume_MA_20,Volume_Spike,Volume_Trend,RSI_14,RSI_Extreme,MACD,MACD_Signal,MACD_Hist,MACD_Positive,BB_Upper,BB_Lower,BB_Width,BB_Position,High_Low_Ratio,Open_Close,Range,ROC_5,ROC_20
2013-01-27 18:30:00+00:00,6082.10009765625,6088.39990234375,6061.39990234375,6074.7998046875,113100,0.0024676705021597,0.338602326632853,-0.1233086207657829,0.842456514229184,-0.6592777700525465,-1.4411965414883987,0,0,-0.6592777700525465,1.0000123382002777,1.0,1.00338268923294,3.0,1.0372374507961346,36.0,1.1201226700358788,140.0,1.1969643442218418,534.0,6054.319921875,6017.2774658203125,5890.897978515625,5452.992995605468,1.0061560159499203,1.0214533484989214,1.080305436530555,1.009559529071732,1.0312179614793149,0.5943966580632604,0.6222574528611574,0.955226257765508,0,42140.0,2.68391077361177,-0.1359816653934301,59.43215449270219,0,48.31605364316147,50.31550167649028,-1.999448033328811,0,6109.981929757474,5924.573001883151,0.0154063801218652,0.8102457876579612,1.004454416543208,1.001201733917736,0.0044445909113195,-0.1233086207657829,0.0
2013-01-28 18:30:00+00:00,6064.7001953125,6111.7998046875,6042.4501953125,6049.89990234375,157600,-0.4098884431473215,0.507526629816657,0.0231446200504192,-0.1106263448876654,-0.8429891539237233,-1.5372155159785628,0,0,-0.8429891539237233,0.997946348945095,0.0,0.99922373070462,3.0,1.0316589385563404,36.0,1.1146319560406526,139.0,1.191334839766888,534.0,6054.59990234375,6024.5174560546875,5899.2759765625,5456.652995605469,1.004993337061183,1.0212299746595626,1.0811162046246112,1.004213191591561,1.0255326122018482,0.589542189488798,0.6260333487332168,0.9417105185877734,0,50020.0,3.1507397041183527,0.2217054263565891,59.43215449270219,0,45.61822745882364,49.37604683295695,-3.757819374133312,0,6101.642332273026,5947.392579836349,0.0128018346333824,0.6645542108696902,1.0114770676022782,1.0024463698916763,0.011462935006269,0.0231446200504192,2.452114312930465
2013-01-29 18:30:00+00:00,6065.0,6071.9501953125,6044.14990234375,6055.75,124200,0.0966974288943767,-0.3111274336395575,0.0239531466772913,0.8980547908852055,-1.1311563390166368,-1.5943492496800604,0,0,-1.1311563390166368,1.0004832534976182,0.0,1.000142043637799,2.0,1.0313783497712663,35.0,1.1148574852954496,138.0,1.191750201703826,534.0,6054.88994140625,6027.6424560546875,5908.90998046875,5460.139245605469,1.0045204216325394,1.0200938034220175,1.0821903461939124,1.0046631073674714,1.0248506103522668,0.4987886261201039,0.6198178613659588,0.804734192430128,0,56230.0,2.2087853459007647,-0.0934306569343065,59.43215449270219,0,43.451354592290045,48.19110838482357,-4.739753792533527,0,6104.497311078825,5950.78760103055,0.0127504004400489,0.6645542108696902,1.004599537307632,1.0015274738884532,0.0045907266595797,0.0239531466772913,1.042839861510858
2013-01-30 18:30:00+00:00,6045.64990234375,6058.0498046875,6025.14990234375,6034.75,168500,-0.3467778557569301,-0.6592777700525465,0.2558399510562914,-0.0736884880212174,-1.2900302026803143,-1.589961395459627,0,0,-1.2900302026803143,0.998263099127414,0.0,0.996167045697742,1.0,1.0266660710421167,34.0,1.110185193454579,137.0,1.1868752981305126,533.0,6057.969921875,6028.904956054687,5918.176982421875,5463.69849609375,1.004820936145481,1.018709811139764,1.0831814725232465,1.0009695034152832,1.0196974537808463,0.4776923785833917,0.6162733171816243,0.7751307175978369,0,64655.0,2.6061402830407547,-0.0901727861771057,59.881632719140214,0,39.58327636817103,46.469541981493066,-6.886265613322038,0,6105.333342711326,5952.476569398049,0.0126769931212604,0.5382386976946935,1.0054604288485756,1.001806189542856,0.0054517423826587,0.2558399510562914,0.4201680672268892
2013-01-31 18:30:00+00:00,6040.9501953125,6052.9501953125,5983.2001953125,5998.89990234375,159300,-0.5940610241724986,-0.8429891539237233,-1.246985443075066,-1.0800738911476704,-0.66178312153099,-1.5902899514372182,0,0,-0.66178312153099,0.997020845882406,0.0,0.9927318668934252,0.0,1.019696196733321,33.0,1.102816920883936,136.0,1.17911104824151,532.0,6042.819921875,6028.042456054687,5926.723984375,5467.52099609375,1.0024514535071778,1.01709518984633,1.0839874211016889,0.9951655029102084,1.0121780461109766,0.485041915233999,0.6213170363382043,0.780667335459918,0,72620.0,2.1936105755990085,0.0792682926829269,46.736738068538195,0,33.24180243232968,43.823994071660394,-10.582191639330716,0,6105.459849164989,5950.625062944386,0.0128428745608024,0.3117829047187374,1.0116576410153626,1.0070096673812343,0.0116271318300791,-1.246985443075066,-0.2867282278534944
2013-02-03 18:30:00+00:00,6025.2001953125,6038.5,5981.25,5987.25,141700,-0.1942006456750244,-1.1311563390166368,-1.4411965414883987,-1.5627280426763424,-0.8092228537725954,-1.493171361539103,0,0,-0.8092228537725954,0.9990280530079578,0.0,0.993683319001969,0.0,1.0169005053077729,32.0,1.099979699690118,135.0,1.1761258967068435,531.0,6025.3099609375,6027.9849609375,5934.17298828125,5471.239245605469,0.9995562364509312,1.015808769451364,1.084612228033642,0.9932423585656782,1.0089442980215722,0.4641411350676979,0.6209234787357131,0.7475013443085678,0,79705.0,1.7778056583652218,0.2528735632183907,40.48561678798378,0,26.965250273608945,40.45224531205011,-13.486995038441163,0,6105.527922725354,5950.441999149645,0.0128638280105786,0.2373394051613337,1.00957157784744,1.006338501868554,0.0095619858866758,-1.4411965414883987,-0.0192021635579187
2013-02-04 18:30:00+00:00,5948.2001953125,5970.35009765625,5946.89990234375,5956.89990234375,136200,-0.506912149254668,-1.2900302026803143,-1.5372155159785628,-1.514426678618663,-0.896437798505556,-0.5774799460742219,0,0,-0.896437798505556,0.997458998932164,0.0,0.9917075971842036,0.0,1.011080273848732,31.0,1.0937618659529265,135.0,1.1694752989178705,530.0,6025.3099609375,6025.744946289063,5940.755986328125,5474.8894946289065,0.9968410569114304,1.014306084975806,1.0850914876284266,0.9885748493241968,1.0027174851235732,0.4597122895752683,0.5878315555873269,0.7820476549884272,0,86515.0,1.5742934751199211,-0.1357868020304569,40.48561678798378,0,19.31933694278996,36.22566363819808,-16.90632669540812,0,6108.872204751161,5942.617687826964,0.0137953496543679,0.0859057232309518,1.003943263834533,0.9985395579623846,0.0039366441768265,-1.5372155159785628,-0.7464600281723577
2013-02-05 18:30:00+00:00,5988.0498046875,5990.89990234375,5953.14990234375,5959.2001953125,157800,0.0386156055408148,-0.66178312153099,-1.5943492496800604,-1.5707779998170857,-1.0295022091136974,-0.4404953540686263,0,0,-1.0295022091136974,1.0001930407557758,0.0,0.9952901418499684,0.0,1.0109013389482029,31.0,1.0935782301960646,134.0,1.169258339893973,529.0,5987.4,6025.129956054688,5947.40798828125,5478.301245117187,0.9937379017000666,1.013068208524887,1.0856299648695256,0.9890575371447492,1.001982747283268,0.4566337412803198,0.5876779771760834,0.7770135329462935,0,94405.0,1.6715216355065938,0.2705314009661836,36.88520391010473,0,13.292284775777262,31.63898786571392,-18.346703089936657,0,6110.108338007955,5940.15157410142,0.0141039915442607,0.112079218109586,1.0063411808234726,1.0048411881510029,0.0063347427108916,-1.5943492496800604,-0.2059751266432208
2013-02-06 18:30:00+00:00,5936.4501953125,5978.5,5953.14990234375,5938.7998046875,157600,-0.3423343730094341,-0.8092228537725954,-1.589961395459627,-1.3381892008593077,-0.2744629424052069,-0.7046812613883402,0,-1,-0.2744629424052069,0.9982853932908892,0.0,0.9950721981226376,0.0,1.0068711921011244,31.0,1.0891537733612573,133.0,1.1646117763436024,529.0,5968.2099609375,6023.637451171875,5953.465986328125,5481.957993164063,0.990798335609725,1.0117866575545902,1.0860108730771063,0.98591587771142,0.9975365305396378,0.4382990689705458,0.5724704922900609,0.7656273552497223,0,102285.0,1.540792882631862,-0.0646884272997032,29.08057624400423,1,6.791374740074389,26.669465240586018,-19.878090500511625,0,6113.689649834084,5933.585252509666,0.0149498039004139,0.0289529420452795,1.0085869325705483,0.9996043629264711,0.0085707388727895,-1.589961395459627,-0.5001147352356572
2013-02-07 18:30:00+00:00,5929.10009765625,5953.7001953125,5883.64990234375,5903.5,192600,-0.5943929051058117,-0.896437798505556,-1.5902899514372182,-2.8174447103151756,0.4988599189040377,-0.2727212273439527,1,1,0.4988599189040377,0.997019176572989,0.0,0.992329974194789,0.0,1.0002723735711163,31.0,1.0821208674117235,132.0,1.1570561931861412,529.0,5949.12998046875,6021.2474609375,5956.986982421875,5485.3444921875,0.988022833983056,1.0107874129497425,1.085982291705856,0.9804446733502684,0.9910211349160732,0.2591633237119387,0.5722198018404522,0.452908695012619,0,111915.0,1.7209489344591875,0.2090395480225988,21.851381517855486,1,-1.195264262854835,21.09651933989785,-22.29178360275268,0,6121.358634726058,5921.136287148943,0.0166263177917903,-0.088083509969586,1.011905924745938,1.0043364271459727,0.0118658919232235,-1.5902899514372182,-0.8031826030651446
